n,original,reconstructed,freq
602,19,-45.6615951176337,17.93
603,20,-41.70072558084188,17.93
604,20,-37.63406946723264,17.93
605,19,-33.47158809566411,17.93
606,20,-29.223486763085372,17.93
607,19,-24.900189823460035,17.93
608,125,-20.51231520655602,17.93
609,125,-16.070648438809876,17.93
610,125,-11.586116229752758,17.93
611,126,-7.0697596886089595,17.93
612,126,-2.5327072366435024,17.93
613,126,2.013852718359684,17.93
614,125,6.558699278465404,17.93
615,125,11.090606655299172,17.93
616,125,15.598371805289954,17.93
617,125,20.070842032485185,17.93
618,125,24.49694249100115,17.93
619,125,28.865703519361062,17.93
620,125,33.166287739329384,17.93
621,125,37.388016852373035,17.93
622,125,41.52039806756788,17.93
623,125,45.55315009561924,17.93
624,125,49.47622864467814,17.93
625,125,53.27985135480558,17.93
626,125,56.954522109266726,17.93
627,125,60.49105466231613,17.93
628,126,63.88059552476782,17.93
629,125,67.11464605041967,17.93
630,306,70.18508366832069,17.93
631,306,73.0841822079247,17.93
632,306,75.8046312663617,17.93
633,305,78.33955456937169,17.93
634,306,80.68252727988215,17.93
635,306,82.8275922107592,17.93
636,306,84.76927490092437,17.93
637,306,86.50259751678792,17.93
638,305,88.02309154381133,17.93
639,305,89.32680923595525,17.93
640,306,90.41033379379995,17.93
641,306,91.27078824522724,17.93
642,306,91.90584300572303,17.93
643,306,92.3137220985881,17.93
644,306,92.49320801862486,17.93
645,305,92.4436452261898,17.93
646,306,92.16494226186057,17.93
647,306,91.65757247534916,17.93
648,306,90.92257336569762,17.93
649,305,89.96154453320291,17.93
650,306,88.77664424693441,17.93
651,306,87.37058463511332,17.93
652,305,85.74662550901637,17.93
653,305,83.90856683443462,17.93
654,305,81.86073986805579,17.93
655,305,79.60799697943405,17.93
656,305,77.15570018246153,17.93
657,305,74.50970840344601,17.93
658,306,71.6763635160297,17.93
659,125,68.66247517623768,17.93
660,125,65.47530449392363,17.93
661,125,62.12254657976843,17.93
662,125,58.61231200978407,17.93
663,125,54.953107251969435,17.93
664,125,51.15381410235217,17.93
665,125,47.22366818012265,17.93
666,125,43.172236533920035,17.93
667,125,39.00939441355547,17.93
668,125,34.745301263552825,17.93
669,125,30.390375996844693,17.93
670,126,25.955271608777004,17.93
671,19,21.450849193244725,17.93
672,19,16.888151424299856,17.93
673,19,12.278375567936212,17.93
674,19,7.632846089962025,17.93
675,19,2.9629869269156575,17.93
676,19,-1.7197065121389556,17.93
677,20,-6.403695544385759,17.93
678,19,-11.077426543500609,17.93
679,19,-15.729359331889617,17.93
680,19,-20.34799556523909,17.93
681,19,-24.921907039657288,17.93
682,19,-29.4397638518244,17.93
683,19,-33.890362342873054,17.93
684,19,-38.26265275719812,17.93
685,20,-42.545766548040945,17.93
686,19,-46.729043262507716,17.93
687,19,-50.8020569396604,17.93
688,19,-54.75464195646389,17.93
689,19,-58.576918257676994,17.93
690,19,-62.25931590723772,17.93
691,19,-65.79259890031119,17.93
692,133,-69.16788817693518,17.93
693,133,-72.37668378011341,17.93
694,134,-75.41088610326234,17.93
695,134,-78.2628161741093,17.93
696,134,-80.92523492446485,17.93
697,134,-83.39136139774116,17.93
698,134,-85.65488984865932,17.93
699,133,-87.71000569227077,17.93
700,133,-89.55140026220997,17.93
701,133,-91.1742843409857,17.93
702,133,-92.57440042810352,17.93
703,133,-93.74803371488152,17.93
704,132,-94.69202173797242,17.93
705,131,-95.40376268682263,17.93
706,131,-95.88122234358454,17.93
707,131,-96.12293963733435,17.93
708,131,-96.12803079783457,17.93
709,131,-95.89619209750173,17.93
710,131,-95.42770117369619,17.93
711,130,-94.72341692692392,17.93
712,130,-93.78477799403068,17.93
713,130,-92.61379979896132,17.93
714,131,-91.21307018714687,17.93
715,132,-89.58574365305887,17.93
716,132,-87.73553417392651,17.93
717,131,-85.66670666603807,17.93
718,131,-83.38406708343739,17.93
719,132,-80.89295118216725,17.93
720,132,-78.19921197650046,17.93
721,19,-75.3092059168232,17.93
722,19,-72.22977782199,17.93
723,19,-68.96824460204674,17.93
724,19,-65.53237781020641,17.93
725,20,-61.930385065860634,17.93
726,19,-58.17089039320548,17.93
727,20,-54.262913522748946,17.93
728,20,-50.215848205542635,17.93
729,19,-46.03943959243357,17.93
730,19,-41.74376073296095,17.93
731,19,-37.33918825071643,17.93
732,18,-32.83637725404588,17.93
733,19,-28.246235542883174,17.93
734,19,-23.57989717427513,17.93
735,19,-18.84869545077029,17.93
736,20,-14.064135397303229,17.93
737,20,-9.237865793504596,17.93
738,123,-4.381650829503021,17.93
739,123,0.49265854574628365,17.93
740,124,5.37315351376927,17.93
741,124,10.24789644305052,17.93
742,123,15.10495004175486,17.93
743,123,19.93240653548316,17.93
744,124,24.71841679874087,17.93
745,123,29.451219368862187,17.93
746,121,34.119169271370936,17.93
747,120,38.71076658617123,17.93
748,121,43.21468468454653,17.93
749,277,47.619798067703165,17.93
750,295,51.91520973852078,17.93
751,295,56.09027803926775,17.93
752,295,60.134642889299776,17.93
753,295,64.03825135818093,17.93
754,296,67.79138251125008,17.93
755,294,71.38467146638897,17.93
756,293,74.80913260263776,17.93
757,290,78.05618186333511,17.93
758,281,81.11765809863668,17.93
759,286,83.98584339457484,17.93
760,285,86.65348233826577,17.93
761,290,89.11380017143462,17.93
762,292,91.36051978711531,17.93
763,295,93.38787752717694,17.93
764,296,95.19063774123177,17.93
765,296,96.7641060704776,17.93
766,295,98.10414142311986,17.93
767,295,99.20716661119089,17.93
768,297,100.0701776218344,17.93
769,297,100.69075149943875,17.93
770,296,101.0670528183806,17.93
771,297,101.19783872956722,17.93
772,297,101.08246256743666,17.93
773,296,100.7208760075805,17.93
774,296,100.1136297686845,17.93
775,296,99.26187285603132,17.93
776,296,98.1673503473665,17.93
777,125,96.8323997254845,17.93
778,125,95.25994576544257,17.93
779,125,93.4534939878371,17.93
780,126,91.41712269308535,17.93
781,126,89.15547359512237,17.93
782,125,86.67374107635185,17.93
783,125,83.97766008906282,17.93
784,125,81.07349273184123,17.93
785,126,77.9680135327509,17.93
786,125,74.6684934742311,17.93
787,125,71.18268279774443,17.93
788,125,67.5187926292063,17.93
789,125,63.68547546912256,17.93
790,125,59.69180459415672,17.93
791,125,55.547252419524376,17.93
792,126,51.261667874174044,17.93
793,126,46.84525284314726,17.93
794,126,42.30853773381364,17.93
795,126,37.66235622484199,17.93
796,125,32.917819258791745,17.93
797,126,28.086288341083744,17.93
798,125,23.17934820983337,17.93
799,126,18.20877894259473,17.93
800,20,13.186527567471648,17.93
801,19,8.124679247293495,17.93
802,19,3.0354281066287268,17.93
803,20,-2.0689522276839125,17.93
804,19,-7.176138301073796,17.93
805,19,-12.273786648872855,17.93
806,20,-17.349563684687357,17.93
807,19,-22.391175586940147,17.93
808,18,-27.386398110983354,17.93
809,133,-32.32310625432767,17.93
810,134,-37.18930370285422,17.93
811,134,-41.97315198637367,17.93
812,134,-46.662999272568264,17.93
813,134,-51.24740872919782,17.93
814,133,-55.715186385467184,17.93
815,134,-60.0554084246371,17.93
816,134,-64.25744784131194,17.93
817,134,-68.31100039834956,17.93
818,134,-72.20610982001318,17.93
819,134,-75.9331921598101,17.93
820,134,-79.48305928344148,17.93
821,133,-82.84694140941019,17.93
822,134,-86.01650865209758,17.93
823,134,-88.98389151452031,17.93
824,134,-91.7417002805058,17.93
825,134,-94.28304325867677,17.93
826,134,-96.60154383340455,17.93
827,134,-98.69135628076812,17.93
828,133,-100.54718031053862,17.93
829,134,-102.1642742982848,17.93
830,134,-103.53846717486202,17.93
831,133,-104.66616894379264,17.93
832,134,-105.544379800365,17.93
833,134,-106.17069782966128,17.93
834,134,-106.54332526416559,17.93
835,133,-106.66107328508984,17.93
836,134,-106.52336535508555,17.93
837,134,-106.13023907356447,17.93
838,19,-105.48234654943596,17.93
839,19,-104.58095328965994,17.93
840,19,-103.42793560561648,17.93
841,20,-102.02577654288672,17.93
842,19,-100.3775603436235,17.93
